iter	Recall	Logloss
0	0.7765943958	0.6436367072
1	0.8184354	0.6068163803
2	0.8511474578	0.5692482272
3	0.8558387219	0.5356002596
4	0.8706732598	0.5081985858
5	0.8751109421	0.4837512598
6	0.8779003423	0.4618002331
7	0.8792950425	0.4442355092
8	0.88170407	0.427985259
9	0.8884239888	0.4150687624
10	0.8909598073	0.4025097123
11	0.8959046532	0.3908094716
12	0.905921136	0.3798085004
13	0.9101052365	0.3727945218
14	0.9131482186	0.3620120409
15	0.9199949284	0.352875615
16	0.9278559655	0.3444437354
17	0.9248129834	0.3359379276
18	0.928743502	0.3274645969
19	0.9321668569	0.3187941039
20	0.933561557	0.3091222728
21	0.9358437936	0.302778037
22	0.9350830481	0.2955566841
23	0.9386331939	0.2886612511
24	0.9396475212	0.2820042473
25	0.9407886395	0.2771864017
26	0.9415493851	0.2703598484
27	0.9419297578	0.2653456919
28	0.943324458	0.2594816873
29	0.9445923672	0.2535101924
30	0.9447191581	0.2492454088
31	0.9478889312	0.2442033641
32	0.946494231	0.2400247514
33	0.9482693039	0.2353563753
34	0.9489032585	0.2312388623
35	0.9501711677	0.2273009384
36	0.9509319133	0.2237284562
37	0.9524534043	0.2202129071
38	0.9552428046	0.2171029483
39	0.9553695955	0.2125128119
40	0.9566375048	0.2096081854
41	0.9585393686	0.2062781711
42	0.9623430962	0.2024640713
43	0.9636110055	0.1998553229
44	0.9638645873	0.1972190161
45	0.9647521237	0.1949474904
46	0.9665271967	0.1920345889
47	0.9677951059	0.1883040144
48	0.9677951059	0.1855770505
49	0.9686826423	0.18149727
50	0.970838088	0.1773718965
51	0.9712184608	0.1752882802
52	0.9733739064	0.1724942763
53	0.9735006974	0.1699829981
54	0.974007861	0.1671657602
55	0.9742614429	0.16407944
56	0.975656143	0.1625048218
57	0.9759097249	0.1606430796
58	0.9766704704	0.1585044474
59	0.9786991251	0.1556948125
60	0.9792062888	0.1544423408
61	0.9797134525	0.1527039236
62	0.9802206162	0.150604473
63	0.9808545708	0.1488108249
64	0.980474198	0.1471983471
65	0.9811081527	0.1448146591
66	0.9811081527	0.1427779872
67	0.9816153163	0.1405914642
68	0.9800938253	0.1390729819
69	0.9808545708	0.1365514831
70	0.9808545708	0.1350928939
71	0.9813617345	0.1334526216
72	0.982249271	0.1320661892
73	0.9817421073	0.130054839
74	0.9836439711	0.127598728
75	0.983770762	0.1260985693
76	0.9851654622	0.1243020112
77	0.9860529986	0.1226875125
78	0.9856726258	0.1213683492
79	0.9855458349	0.120311491
80	0.9863065804	0.1185882984
81	0.9875744897	0.1169536282
82	0.9878280715	0.1156247061
83	0.9879548624	0.1138171622
84	0.9883352352	0.1130645592
85	0.988588817	0.1112848075
86	0.9898567263	0.1093004725
87	0.9897299353	0.1082729692
88	0.9903638899	0.1065643481
89	0.9901103081	0.1052360438
90	0.9903638899	0.1037378274
91	0.9904906809	0.1024449991
92	0.9908710536	0.1013946797
93	0.9916317992	0.1003145749
94	0.9915050082	0.09904336265
95	0.9915050082	0.09788988611
96	0.9913782173	0.09688700678
97	0.9915050082	0.09554926591
98	0.9921389629	0.09426975949
99	0.9923925447	0.09286972656
100	0.9921389629	0.09153858704
101	0.9923925447	0.0902968035
102	0.9931532902	0.0892040093
103	0.9932800811	0.08828222814
104	0.9937872448	0.08728258616
105	0.9939140358	0.08591754193
106	0.9941676176	0.08487703302
107	0.9945479904	0.08368495577
108	0.9946747813	0.08214559814
109	0.9948015722	0.08054964632
110	0.9950551541	0.0795783939
111	0.995181945	0.07846424353
112	0.9950551541	0.07762827231
